NO,DPRTM_CHRG,CORP_NM,ADDRESS,TRGT_YEAR,DSGN_CLSF,DSGN_INDS,GHG_EMS,GHG_UNIT,GHG_EMS_BU,GHG_EMS_BU_UNIT,ENG_CNSM,ENG_UNIT,ENG_CNSM_BU,ENG_CNSM_BU_UNIT,VRFCT_AGNCY,TST
700,환경부,이천시,경기도,2019,사업장,폐기물,"129,365",tCO₂eq,-,-,750,TJ,-,-,이큐에이㈜,-
701,환경부,이화여자대학교,서울특별시,2019,사업장,건물,"33,735",tCO₂eq,-,-,692,TJ,-,-,이큐에이㈜,-
702,환경부,익산시,전라북도,2019,사업장,폐기물,"91,275",tCO₂eq,-,-,693,TJ,-,-,㈜한국품질보증원,-
703,환경부,인그리디언코리아 유한회사,서울특별시,2019,업체,음식료품,"131,334",tCO₂eq,41.22,tCO2eq/억원,"2,620",TJ,0.82,TJ/억원,(재)한국품질재단,"318,589,297,952"
704,환경부,인천공항에너지,인천광역시,2019,업체,집단에너지,"221,022",tCO₂eq,264.51,tCO2eq/억원,"4,379",TJ,5.24,TJ/억원,㈜한국품질보증원,"83,558,940,591"
705,환경부,인천광역시,인천광역시,2019,업체,폐기물,"401,611",tCO₂eq,-,-,"4,498",TJ,-,-,(재)한국품질재단,-
706,국토교통부,인천교통공사,인천광역시,2019,업체,교통(철도),"76,128",tCO₂eq,38.24,tCO2eq/억원,"1,565",TJ,0.79,TJ/억원,한국표준협회,"199,070,379,393"
707,환경부,인천국제공항공사,인천광역시,2019,업체,건물,"261,719",tCO₂eq,9.49,tCO2eq/억원,"5,055",TJ,0.18,TJ/억원,(재)한국품질재단,"2,759,191,612,000"
708,환경부,인천종합에너지(주),인천광역시,2019,업체,집단에너지,"392,384",tCO₂eq,223.69,tCO2eq/억원,"7,778",TJ,4.43,TJ/억원,㈜디엔브이지엘비즈니스어슈어런스코리아,"175,417,359,902"
709,국토교통부,인터지스(주),부산광역시,2019,사업장,교통(화물),"35,947",tCO₂eq,-,-,526,TJ,-,-,(주)한국경영인증원,-
710,산업통상자원부,일본전기초자한국주식회사,경상북도,2019,사업장,유리 · 요업,"8,530",tCO₂eq,-,-,174,TJ,-,-,이큐에이㈜,-
711,농림축산식품부,일산실업(주) 칠서에탄올공장,경상남도,2019,사업장,음료제조업,"15,627",tCO₂eq,-,-,339,TJ,-,-,한국표준협회,-
712,환경부,일신방직(주),서울특별시,2019,사업장,섬유,"80,544",tCO₂eq,-,-,"1,627",TJ,-,-,한국표준협회,-
713,환경부,일진디스플레이(주),경기도,2019,사업장,전기전자,"20,169",tCO₂eq,-,-,414,TJ,-,-,한국표준협회,-
714,환경부,일진머티리얼즈 주식회사,전라북도,2019,사업장,비철금속,"113,045",tCO₂eq,-,-,"2,381",TJ,-,-,㈜디엔브이지엘비즈니스어슈어런스코리아,-
715,환경부,일진제강(주),전라북도,2019,사업장,철강,"43,977",tCO₂eq,-,-,884,TJ,-,-,한국표준협회,-
716,국토교통부,재단법인 대구경북과학기술원,대구광역시,2019,사업장,건물,"27,634",tCO₂eq,-,-,564,TJ,-,-,한국표준협회,-
717,환경부,재단법인 아산사회복지재단,서울특별시,2019,사업장,건물,"93,029",tCO₂eq,-,-,"1,874",TJ,-,-,한국표준협회,-
718,환경부,재원산업,전라남도,2019,사업장,석유화학,"32,088",tCO₂eq,-,-,597,TJ,-,-,(재)한국품질재단,-
719,환경부,전기초자코리아(주),경기도,2019,업체,유리,"146,381",tCO₂eq,88.08,tCO2eq/억원,"2,929",TJ,1.76,TJ/억원,한국표준협회,"166,197,481,075"
720,환경부,전남대학교,광주광역시,2019,사업장,건물,"36,323",tCO₂eq,-,-,724,TJ,-,-,한국표준협회,-
